group,horizon,signals,mean_R,median_R,win_rate,mean_MFE_R,mean_MAE_R,p25_R,p75_R,p_value_mean_R
ALL,1bar,4281,0.0005579077761078664,-0.001389881788334883,0.4898388227049755,0.053327991116143295,-0.04782663962569098,-0.038353453964004185,0.036604746145058216,0.6271170961183749
LONG,1bar,2286,0.0009149115973979028,0.00030001212881633986,0.5004374453193351,0.04595501808486368,-0.04293574643784992,-0.03263168905750165,0.03390838998017925,0.49654298826935106
SHORT,1bar,1995,0.0001488297132161257,-0.003300324814792257,0.47769423558897245,0.06177642036401559,-0.053430941293562996,-0.04647346738626451,0.04258062378923603,0.9383125347462914
regime=narrow,1bar,4281,0.0005579077761078664,-0.001389881788334883,0.4898388227049755,0.053327991116143295,-0.04782663962569098,-0.038353453964004185,0.036604746145058216,0.6271170961183749
entry=09:15-10:00,1bar,1212,-0.0024020919092005697,-0.0011308328340642673,0.49257425742574257,0.06638352744695768,-0.059735988761357,-0.051058532332182056,0.044938075505198474,0.33687170369479064
entry=10:01-12:00,1bar,1073,-0.0032519993019381453,-0.004094596554297936,0.4613233923578751,0.04085500699641073,-0.04040802714940791,-0.033916593127978206,0.027600780765558827,0.07960882182867396
entry=12:01-14:00,1bar,1104,0.004104438001902322,-0.00039402062191904656,0.49728260869565216,0.048993195774569245,-0.04144397732971913,-0.0339143933903272,0.03403881384775085,0.05089249453813779
entry=14:01+,1bar,892,0.004773356816534006,0.0023034533314970334,0.5112107623318386,0.055957829663927816,-0.04846845488284061,-0.037506488820490826,0.04461658458382469,0.07275943532370811
ALL,3bar,4208,-0.0010472141595109668,0.000683229608077751,0.502138783269962,0.0899026943509137,-0.08728548939333004,-0.0670244929576181,0.06544622386905162,0.6030282392621372
LONG,3bar,2246,-0.00154326997267527,0.002375140514973523,0.51246660730187,0.07594644022389185,-0.07927595473095267,-0.05612604576868181,0.0586939003648138,0.5057081866165316
SHORT,3bar,1962,-0.00047935414097527603,-0.002990031893904383,0.49031600407747195,0.10587911981946166,-0.09645440623925236,-0.07903749541007467,0.07755037281446588,0.8881339919314889
regime=narrow,3bar,4208,-0.0010472141595109668,0.000683229608077751,0.502138783269962,0.0899026943509137,-0.08728548939333004,-0.0670244929576181,0.06544622386905162,0.6030282392621372
entry=09:15-10:00,3bar,1212,-0.007781375162638754,-0.0006181006393733633,0.4975247524752475,0.10508530161365982,-0.10984152618420315,-0.09092808201812382,0.08027392635097526,0.08799413823056235
entry=10:01-12:00,3bar,1073,-0.007222847629319685,-0.005813217934274352,0.4659832246039143,0.0682368940814052,-0.07302591407885205,-0.06202172184825171,0.04643664184586038,0.015357232181386725
entry=12:01-14:00,3bar,1104,0.0047519923119500665,0.0041306215063475,0.5208333333333334,0.0865581691338581,-0.07700571363300335,-0.056278640777770034,0.06007753914000952,0.18465881811705062
entry=14:01+,3bar,819,0.009192021377000209,0.01099644345467492,0.5311355311355311,0.10032813943804895,-0.08644480582959056,-0.06613117394542775,0.08142945765165899,0.05463460656883152
ALL,6bar,3989,-0.002774793325065861,-0.002365543500815091,0.49285535221860116,0.12229529970499743,-0.12264953256151176,-0.08910366336522921,0.08838989893241064,0.3147536413169421
LONG,6bar,2133,-0.004107305230455499,0.00296825058188337,0.5077355836849508,0.10194119966372807,-0.11346393500109989,-0.08037089913914482,0.0780120255259474,0.20737458110024232
SHORT,6bar,1856,-0.0012434097613826158,-0.008979609629537606,0.47575431034482757,0.1456871614442364,-0.1332060409647222,-0.10196827719616944,0.10117163372166406,0.7870630568371673
regime=narrow,6bar,3989,-0.002774793325065861,-0.002365543500815091,0.49285535221860116,0.12229529970499743,-0.12264953256151176,-0.08910366336522921,0.08838989893241064,0.3147536413169421
entry=09:15-10:00,6bar,1212,-0.008568869658858568,-0.006334838544090969,0.48102310231023104,0.13522393732843227,-0.14374456589199802,-0.1042596048605546,0.10517013180003598,0.12949565375176156
entry=10:01-12:00,6bar,1073,-0.007345994810533,-0.009034231624138817,0.4678471575023299,0.09565586943689267,-0.10336537622047538,-0.07794601563829548,0.06409503814132615,0.08638939998990697
entry=12:01-14:00,6bar,1104,0.005602202244104035,0.007192315575623857,0.5217391304347826,0.1234673195063292,-0.11210919766222084,-0.07834621226742837,0.0838474211424934,0.2542508833231645
entry=14:01+,6bar,600,0.0016904010117665372,0.002330530984610202,0.5083333333333333,0.14166311640066928,-0.13391828103851158,-0.10630991648689737,0.11524200614812088,0.8353375844067716
ALL,12bar,3691,-0.004160226008515067,0.0021381631592845506,0.5039284746681116,0.1646159578095689,-0.1706472732143744,-0.12478215690315725,0.12008001538646765,0.29775555343381027
LONG,12bar,1983,-0.007426039745485603,0.004306566355427055,0.5088250126071608,0.13727378113186647,-0.1615138867329848,-0.11366596444886842,0.10342310595551482,0.13203232675632784
SHORT,12bar,1708,-0.00036859331506508547,-0.0014931495039985396,0.49824355971896955,0.1963604170319833,-0.1812511990882594,-0.1367889455144496,0.14622875511626857,0.9545372923218112
regime=narrow,12bar,3691,-0.004160226008515067,0.0021381631592845506,0.5039284746681116,0.1646159578095689,-0.1706472732143744,-0.12478215690315725,0.12008001538646765,0.29775555343381027
entry=09:15-10:00,12bar,1212,-0.006412821941907542,-0.0023963349488321955,0.49587458745874585,0.1728191971203921,-0.18467677589921871,-0.13394646432311155,0.144487200253552,0.37200456966014767
entry=10:01-12:00,12bar,1073,-0.009750348053473341,0.0,0.4995340167753961,0.13169510871150172,-0.147970904796027,-0.11303039353505939,0.09675210983425248,0.12047546992839009
entry=12:01-14:00,12bar,1104,0.006345831034577506,0.006126206848627258,0.5144927536231884,0.18313622174015431,-0.16854691169204758,-0.11912719370542128,0.12615526867236038,0.41604854971598526
entry=14:01+,12bar,302,-0.013664662266999491,0.004307209291326903,0.5132450331125827,0.18095825469083374,-0.2025902704975012,-0.16014443145457913,0.148765326553423,0.38175442594125075
ALL,EOD,4250,-0.011142609117358511,0.002042166693419472,0.5030588235294118,0.3033377194612426,-0.31861157124843004,-0.22776805106131875,0.22143572042185114,0.12975930325030546
LONG,EOD,2273,-0.027964326310865945,0.0036994778513974222,0.5098988121425428,0.25701119685201285,-0.3167782821979172,-0.20483685240470312,0.1868254111329452,0.002903646154820654
SHORT,EOD,1977,0.008197685865363999,-0.004278988126596079,0.49519473950429943,0.3566003324560729,-0.3207193436368041,-0.2667349469729494,0.27554463673340124,0.47769028880287173
regime=narrow,EOD,4250,-0.011142609117358511,0.002042166693419472,0.5030588235294118,0.3033377194612426,-0.31861157124843004,-0.22776805106131875,0.22143572042185114,0.12975930325030546
entry=09:15-10:00,EOD,1212,-0.02593371988314221,-0.006759635985914844,0.49587458745874585,0.38851932931764277,-0.43410249401759876,-0.3388562584781115,0.34015500367875057,0.129802986367027
entry=10:01-12:00,EOD,1073,-0.005345510412703792,0.0168834380060526,0.5293569431500466,0.3385553593979144,-0.3591669819767144,-0.2505029412924919,0.29549860820284757,0.7343181628675663
entry=12:01-14:00,EOD,1104,-0.006063283881979927,-0.0004139690092439746,0.4990942028985507,0.294557854359502,-0.2865700506387369,-0.21929884287997645,0.19479900601200528,0.6509868557394698
entry=14:01+,EOD,861,-0.0040590269127390236,-0.005170872928413409,0.48548199767711964,0.15079919713176052,-0.14658240126633876,-0.11475823155499731,0.10201290248311125,0.5928266812049162
