asset,horizon,side,split,leaf,rule,signals,mean_R,win_rate,sensitivity,specificity,youden_J
intraday,1bar,LONG,TRAIN,2,minute_from_open <= 317.5 AND minute_from_open <= 7.5,152,0.00632348085784352,0.5789473684210527,0.17922606924643583,0.8663883089770354,0.04561437822347125
intraday,1bar,LONG,TRAIN,4,minute_from_open <= 317.5 AND minute_from_open > 7.5 AND cpr_width_atr <= 0.13,324,-0.003858841065355332,0.42592592592592593,0.28105906313645623,0.6116910229645094,-0.10724991389903438
intraday,1bar,LONG,TRAIN,5,minute_from_open <= 317.5 AND minute_from_open > 7.5 AND cpr_width_atr > 0.13,364,-0.0001293092323380742,0.510989010989011,0.3788187372708758,0.6283924843423799,0.007211221613255603
intraday,1bar,LONG,TRAIN,6,minute_from_open > 317.5,130,0.00967109541200511,0.6076923076923076,0.16089613034623218,0.8935281837160751,0.0544243140623073
intraday,1bar,LONG,VALIDATION,2,minute_from_open <= 317.5 AND minute_from_open <= 7.5,119,0.010731680262053638,0.5378151260504201,0.1641025641025641,0.8618090452261307,0.02591160932869485
intraday,1bar,LONG,VALIDATION,4,minute_from_open <= 317.5 AND minute_from_open > 7.5 AND cpr_width_atr <= 0.13,273,0.0009906547344040167,0.47985347985347987,0.33589743589743587,0.6432160804020101,-0.020886483700554015
intraday,1bar,LONG,VALIDATION,5,minute_from_open <= 317.5 AND minute_from_open > 7.5 AND cpr_width_atr > 0.13,312,-0.0014587659314007574,0.48717948717948717,0.38974358974358975,0.5979899497487438,-0.012266460507666554
intraday,1bar,LONG,VALIDATION,6,minute_from_open > 317.5,84,0.015656573823553552,0.5119047619047619,0.11025641025641025,0.8969849246231156,0.00724133487952594
intraday,1bar,LONG,TEST,2,minute_from_open <= 317.5 AND minute_from_open <= 7.5,95,0.004130302357933722,0.5684210526315789,0.20532319391634982,0.8452830188679246,0.05060621278427435
intraday,1bar,LONG,TEST,4,minute_from_open <= 317.5 AND minute_from_open > 7.5 AND cpr_width_atr <= 0.13,152,0.0037356520095368794,0.506578947368421,0.29277566539923955,0.7169811320754716,0.009756797474711254
intraday,1bar,LONG,TEST,5,minute_from_open <= 317.5 AND minute_from_open > 7.5 AND cpr_width_atr > 0.13,215,-0.010941079758750442,0.46511627906976744,0.38022813688212925,0.5660377358490566,-0.0537341272688141
intraday,1bar,LONG,TEST,6,minute_from_open > 317.5,66,0.002348604210072855,0.48484848484848486,0.12167300380228137,0.8716981132075472,-0.006628882990171392
intraday,1bar,SHORT,TRAIN,3,minute_from_open <= 252.5 AND intraday_range_atr <= 0.5609 AND close_vs_pdl_atr <= -0.06507,110,-0.000753074543460616,0.5545454545454546,0.14805825242718446,0.8946236559139785,0.04268190834116292
intraday,1bar,SHORT,TRAIN,4,minute_from_open <= 252.5 AND intraday_range_atr <= 0.5609 AND close_vs_pdl_atr > -0.06507,213,-0.003062523235430472,0.4225352112676056,0.21844660194174756,0.7354838709677419,-0.04606952709051049
