asset,horizon,side,split,leaf,rule,signals,mean_R,win_rate,sensitivity,specificity,youden_J
intraday,1bar,LONG,TRAIN,2,minute_from_open <= 317.5 AND minute_from_open <= 7.5,152,0.00632348085784352,0.5789473684210527,0.17922606924643583,0.8663883089770354,0.04561437822347125
intraday,1bar,LONG,TRAIN,5,minute_from_open <= 317.5 AND minute_from_open > 7.5 AND cpr_width_atr > 0.13,364,-0.0001293092323380742,0.510989010989011,0.3788187372708758,0.6283924843423799,0.007211221613255603
intraday,1bar,LONG,TRAIN,6,minute_from_open > 317.5,130,0.00967109541200511,0.6076923076923076,0.16089613034623218,0.8935281837160751,0.0544243140623073
intraday,1bar,LONG,VALIDATION,2,minute_from_open <= 317.5 AND minute_from_open <= 7.5,119,0.010731680262053638,0.5378151260504201,0.1641025641025641,0.8618090452261307,0.02591160932869485
intraday,1bar,LONG,VALIDATION,5,minute_from_open <= 317.5 AND minute_from_open > 7.5 AND cpr_width_atr > 0.13,312,-0.0014587659314007574,0.48717948717948717,0.38974358974358975,0.5979899497487438,-0.012266460507666554
intraday,1bar,LONG,VALIDATION,6,minute_from_open > 317.5,84,0.015656573823553552,0.5119047619047619,0.11025641025641025,0.8969849246231156,0.00724133487952594
intraday,1bar,LONG,TEST,2,minute_from_open <= 317.5 AND minute_from_open <= 7.5,95,0.004130302357933722,0.5684210526315789,0.20532319391634982,0.8452830188679246,0.05060621278427435
intraday,1bar,LONG,TEST,5,minute_from_open <= 317.5 AND minute_from_open > 7.5 AND cpr_width_atr > 0.13,215,-0.010941079758750442,0.46511627906976744,0.38022813688212925,0.5660377358490566,-0.0537341272688141
intraday,1bar,LONG,TEST,6,minute_from_open > 317.5,66,0.002348604210072855,0.48484848484848486,0.12167300380228137,0.8716981132075472,-0.006628882990171392
intraday,1bar,SHORT,TRAIN,3,minute_from_open <= 252.5 AND intraday_range_atr <= 0.5609 AND close_vs_pdl_atr <= -0.06507,110,-0.000753074543460616,0.5545454545454546,0.14805825242718446,0.8946236559139785,0.04268190834116292
intraday,1bar,SHORT,TRAIN,10,minute_from_open > 252.5 AND cpr_width_atr > 0.1048,165,0.019560553307674464,0.6121212121212121,0.24514563106796117,0.8623655913978494,0.10751122246581057
intraday,1bar,SHORT,VALIDATION,3,minute_from_open <= 252.5 AND intraday_range_atr <= 0.5609 AND close_vs_pdl_atr <= -0.06507,95,-0.009701498266879782,0.4421052631578947,0.13592233009708737,0.8354037267080745,-0.02867394319483818
intraday,1bar,SHORT,VALIDATION,10,minute_from_open > 252.5 AND cpr_width_atr > 0.1048,114,0.008237749328210678,0.49122807017543857,0.18122977346278318,0.8198757763975155,0.0011055498602987601
intraday,1bar,SHORT,TEST,3,minute_from_open <= 252.5 AND intraday_range_atr <= 0.5609 AND close_vs_pdl_atr <= -0.06507,82,-0.0059576425404693,0.45121951219512196,0.15948275862068967,0.8235294117647058,-0.016987829614604433
intraday,1bar,SHORT,TEST,10,minute_from_open > 252.5 AND cpr_width_atr > 0.1048,90,-0.0013868062821413285,0.4777777777777778,0.1853448275862069,0.8156862745098039,0.0010311020960107609
intraday,3bar,LONG,TRAIN,7,intraday_move_atr <= 0.1698 AND minute_from_open > 132.5 AND gap_atr > 0.2846,153,0.009791787173255363,0.6013071895424836,0.18363273453093812,0.8653421633554084,0.04897489788634646
intraday,3bar,LONG,TRAIN,10,intraday_move_atr > 0.1698 AND close_vs_pdl_atr > 0.8619,192,0.029105628787648302,0.65625,0.25149700598802394,0.8543046357615894,0.10580164174961348
intraday,3bar,LONG,VALIDATION,7,intraday_move_atr <= 0.1698 AND minute_from_open > 132.5 AND gap_atr > 0.2846,107,-0.006924497435240304,0.42990654205607476,0.11825192802056556,0.8435897435897436,-0.03815832838969091
intraday,3bar,LONG,VALIDATION,10,intraday_move_atr > 0.1698 AND close_vs_pdl_atr > 0.8619,108,0.014285612715768302,0.5185185185185185,0.14395886889460155,0.8666666666666667,0.010625535561268329
intraday,3bar,LONG,TEST,7,intraday_move_atr <= 0.1698 AND minute_from_open > 132.5 AND gap_atr > 0.2846,73,0.004613144740857756,0.5342465753424658,0.14942528735632185,0.8650793650793651,0.014504652435686882
intraday,3bar,LONG,TEST,10,intraday_move_atr > 0.1698 AND close_vs_pdl_atr > 0.8619,73,0.017853084378125557,0.5616438356164384,0.15708812260536398,0.873015873015873,0.030103995621237
intraday,3bar,SHORT,TRAIN,2,atr_pct <= 0.009073 AND intraday_range_atr <= 0.5782,100,0.04155610955615264,0.67,0.1554524361948956,0.9236111111111112,0.07906354730600684
intraday,3bar,SHORT,TRAIN,3,atr_pct <= 0.009073 AND intraday_range_atr > 0.5782,169,-0.006769942767688006,0.5207100591715976,0.20417633410672853,0.8125,0.01667633410672842
